id_product;name
2446;"
Suprashine Heavy Duty PAD 21"" (533MM) z mikrodiamentem  220grit"
2448;"
Suprashine Heavy Duty PAD 21"" (533MM) z mikrodiamentem  400grit"
2450;"
Suprashine Heavy Duty PAD 24"" (610MM) z mikrodiamentem  220grit"
2453;"
Suprashine Heavy Duty PAD 24"" (610MM) z mikrodiamentem  400grit"
2454;"
Suprashine High Performance PAD 21"" (533MM) z mikrodiamentem  1800grit"
2456;"
Suprashine High Performance PAD 21"" (533MM) z mikrodiamentem  3500grit"
2459;"
Suprashine High Performance PAD 21"" (533MM) z mikrodiamentem  800grit"
2460;"
Suprashine High Performance PAD 24"" (610MM) z mikrodiamentem  1800grit"
2462;"
Suprashine High Performance PAD 24"" (610MM) z mikrodiamentem  3500grit"
2464;"
Suprashine High Performance PAD 24"" (610MM) z mikrodiamentem  800grit"
1289;" Listwa Wibracyjna Euroscreed 1,8M Honda Gx35"
1291;" Listwa Wibracyjna Wacker Neuson P 35A (Profil 1,2 M)"
1292;" Listwa Wibracyjna Wacker Neuson P 35A (Profil 1,8 M)"
1293;" Listwa Wibracyjna Wacker Neuson P 35A (Profil 2,4 M)"
1297;" Listwa Wibracyjna Wacker Neuson P 35A (Profil 3 M)"
1295;" Listwa Wibracyjna Wacker Neuson P 35A (Profil 3,7 M)"
1298;" Listwa Wibracyjna Wacker Neuson P 35A (Profil 4,3 M)"
1301;" Listwa Wibracyjna Wacker Neuson P 35A (Profil 4,9 M)"
21;"1-DROŻNY Panel wylotu powietrza BV 400, BV 500"
22;"Adapter 2-drożny do BV 110"
24;"Adapter B18, 2 x ø23cm"
23;"Adapter B30, 2 x ø31cm"
25;"ADAPTER BV110/170"
26;"ADAPTER BV290"
27;"Adapter BV290, 2 x ø31cm"
28;"Adapter BV77"
30;"Adapter do cięcia gilotyną po łuku PROBST RSA"
29;"Adapter do laserów Nivel System YR"
31;"Adapter do pazurów do kostki brukowej HVZ-UNI-II-PK-II Probst"
32;"Adapter do układu jodełkowego z łopatkami RE HVZ-FA-RE Probst"
33;"Adapter na statyw Nivel System GA-XZPT"
34;"Adapter nastawny do profilu dachowego lub panelowego TAS-UNI-DP"
38;"Adapter odkurzacza do bruzdownicy Tyrolit HCE150"
35;"Adapter przesuwu HVZ-VA-180°-24/16-5x5 Probst"
36;"Adapter przesuwu HVZ-VA-SUPERSOFT-20/10-10x4-90° Probst"
37;"Adapter przesuwu HVZ-VA-SUPERSOFT-20/10-8x6 Probst"
39;"Adapter przesuwu HVZ-VA-SUPERSOFT-24/16-5x5 Probst"
40;"Adapter RS40"
41;"Adapter szybkowymienny SWA-200 (wersja długa) Probst"
42;"Adapter szybkowymienny SWA-200 (wersja krótka) Probst"
43;"Adapter uchwytu gwint/przycisk"
44;"Adapter węża spalinowego FOGO GX240 GX270 GX390"
46;"Adaptery nasadek i bitów Milwaukee | Adaptor ¼"" Hex- ¼"" Square"
579;"Agregat elektryczny Husqvarna PP 70"
45;"Agregat hydrauliczny Altrad Belle 20-140"
47;"Agregat hydrauliczny Altrad Belle BULLDOG HPP"
48;"Agregat hydrauliczny Altrad Belle BULLDOG HPP (z uchwytem na młot)"
49;"Agregat hydrauliczny Altrad Belle MAJOR 20-140X"
50;"Agregat hydrauliczny Altrad Belle MAJOR 20-160X"
51;"Agregat hydrauliczny Altrad Belle MAJOR 30-140"
52;"Agregat hydrauliczny Altrad Belle MIDI 20-140"
53;"Agregat malarski do ciężkich prac Titan POWRTWIN 12000 PLUS DI 400V"
5412;"Agregat malarski membranowy Titan Elite 2000 HEA"
55;"Agregat malarski membranowy Titan Elite 3100"
56;"Agregat malarski membranowy Titan Elite 4300"
57;"Agregat malarski Titan Compact 190"
58;"Agregat malarski Titan Control Max 1900 Pro Cart"
59;"Agregat malarski Titan Control Max 1900 Pro Skid"
60;"Agregat malarski Titan Focus 500"
61;"Agregat malarski Titan Focus 700"
63;"Agregat malarski Titan Impact 1040"
62;"Agregat malarski Titan Impact 1640"
65;"Agregat malarski Titan Impact 400 HEA"
64;"Agregat malarski Titan Impact 440"
66;"Agregat malarski Titan Impact 540"
67;"Agregat malarski Titan Impact 740"
69;"Agregat malarski Wagner Pro Spray 3.31"
5504;"Agregat malarski Wagner ProSpray 3.21"
5505;"Agregat malarski Wagner ProSpray 3.25 HR"
68;"Agregat malarski Wagner SuperFinish 23 PRO"
72;"Agregat malarsko-szpachlarski Titan ProSpray 3.39 Connect"
54;"Agregat malarsko-szpachlarski Titan Wagner PT 6900 Plus DI"
70;"Agregat malarsko-szpachlarski Wagner HeavyCoat 950E"
71;"Agregat malarsko-szpachlarski Wagner HeavyCoat 970E"
73;"Agregat malarsko-szpachlarski Wagner HeavyCoat 970G"
5506;"Agregat malarsko-szpachlarski Wagner ProSpray 3.39 Connect"
74;"Agregat prądotwórczy Fogo Agrovolt AV 18 R na WOM traktorowy"
75;"Agregat prądotwórczy Fogo Agrovolt AV 27 R AVR na WOM traktorowy"
76;"Agregat prądotwórczy Fogo FD 100 B-C"
5543;"Agregat prądotwórczy Fogo FD 20 B-Q"
77;"Agregat prądotwórczy Fogo FD 32 B-C"
78;"Agregat prądotwórczy Fogo FD 40 B-C"
5515;"Agregat prądotwórczy Fogo FD 60 B-C"
79;"Agregat prądotwórczy Fogo FD 80 B-C"
80;"Agregat prądotwórczy jednofazowy 230 V AVR / 2700W Altrad Belle ABG 2700"
81;"Agregat prądotwórczy jednofazowy Altrad Belle ABG 3000"
83;"Agregat prądotwórczy jednofazowy Altrad Belle ABG 4200"
82;"Agregat prądotwórczy jednofazowy Altrad Belle ABG 4200AVR"
85;"Agregat prądotwórczy jednofazowy Altrad Belle ABG 6200"
84;"Agregat prądotwórczy jednofazowy Altrad Belle ABG 6200AVR"
86;"Agregat prądotwórczy jednofazowy B&S Promax 3500A"
87;"Agregat prądotwórczy jednofazowy B&S Promax 7500EA"
88;"Agregat prądotwórczy jednofazowy B&S Sprint 1200A"
89;"Agregat prądotwórczy jednofazowy Enar GEEL 2i"
90;"Agregat prądotwórczy jednofazowy Enar GEEL 3"
91;"Agregat prądotwórczy jednofazowy Enar GEEL 5"
92;"Agregat prądotwórczy jednofazowy Enar GEEL 7"
93;"Agregat prądotwórczy jednofazowy FOGO F 3001"
95;"Agregat prądotwórczy jednofazowy FOGO F 3001 R"
126;"Agregat prądotwórczy jednofazowy FOGO F 4001 z silnikiem Rato"
125;"Agregat prądotwórczy jednofazowy FOGO F 4001R z silnikiem Rato"
5513;"Agregat prądotwórczy jednofazowy Fogo F 5001 R"
94;"Agregat prądotwórczy jednofazowy FOGO F2001iS inwerterowy"
96;"Agregat prądotwórczy jednofazowy FOGO F3001iS inwerterowy"
98;"Agregat prądotwórczy jednofazowy FOGO F4001iS inwerterowy"
97;"Agregat prądotwórczy jednofazowy FOGO F4001iSE inwerterowy"
129;"Agregat prądotwórczy jednofazowy FOGO F5001iSG inwerterowy benzyna gaz"
132;"Agregat prądotwórczy jednofazowy FOGO F8001iSA inwerterowy"
130;"Agregat prądotwórczy jednofazowy FOGO FH 3001"
134;"Agregat prądotwórczy jednofazowy FOGO FH 3001"
133;"Agregat prądotwórczy jednofazowy FOGO FH 3001 R"
135;"Agregat prądotwórczy jednofazowy FOGO FH 3541"
137;"Agregat prądotwórczy jednofazowy FOGO FH 4001"
140;"Agregat prądotwórczy jednofazowy FOGO FH 4001R"
141;"Agregat prądotwórczy jednofazowy FOGO FH 4541"
143;"Agregat prądotwórczy jednofazowy FOGO FH 5001"
144;"Agregat prądotwórczy jednofazowy FOGO FH 5001R"
146;"Agregat prądotwórczy jednofazowy FOGO FH 6001"
149;"Agregat prądotwórczy jednofazowy FOGO FH 6001 CRA"
150;"Agregat prądotwórczy jednofazowy FOGO FH 6001 R"
153;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TE"
155;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TR"
157;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TRA"
158;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TRE"
152;"Agregat prądotwórczy jednofazowy FOGO FH 6001T"
161;"Agregat prądotwórczy jednofazowy FOGO FH 6541"
162;"Agregat prądotwórczy jednofazowy FOGO FH 7001"
164;"Agregat prądotwórczy jednofazowy FOGO FH 7001 R"
166;"Agregat prądotwórczy jednofazowy FOGO FH 7001 T"
168;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TE"
170;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TR"
172;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TRA"
175;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TRE"
179;"Agregat prądotwórczy jednofazowy FOGO FM 3001"
181;"Agregat prądotwórczy jednofazowy FOGO FM 3001R"
182;"Agregat prądotwórczy jednofazowy FOGO FM 3541"
185;"Agregat prądotwórczy jednofazowy FOGO FM 4001"
187;"Agregat prądotwórczy jednofazowy FOGO FM 4001R"
190;"Agregat prądotwórczy jednofazowy FOGO FM 4541"
192;"Agregat prądotwórczy jednofazowy FOGO FM 6001"
195;"Agregat prądotwórczy jednofazowy FOGO FM 6001E"
196;"Agregat prądotwórczy jednofazowy FOGO FM 6001R"
199;"Agregat prądotwórczy jednofazowy FOGO FM 6001RE"
201;"Agregat prądotwórczy jednofazowy FOGO FM 6541"
203;"Agregat prądotwórczy jednofazowy FOGO FV 10001 CRA"
206;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TE"
209;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TRA"
