code;voucher name;voucher desc;value;quantity;quantity per user;cumulable;type;email;products by ID
codenb239;Super voucher 1;Example of description 1;7;1;1;1;0;social@mypresta.eu;1,2,3
codenb240;Super voucher 2;Example of description 2;8;1;1;1;0;pub@prestashop.com;4,5,6
codenb241;Super voucher 3;Example of description 3;9;1;1;1;0;mypresta.eu@gmail.com;7,8,9
codenb242;Super voucher 4;Example of description 4;10;1;1;1;0;;1,2,3
codenb243;Super voucher 5;Example of description 5;11;1;1;1;1;;4,5,6
codenb244;Super voucher 6;Example of description 6;12;1;1;1;1;;7,8,9
codenb245;Super voucher 7;Example of description 7;13;1;1;1;0;;1,2,3
codenb246;Super voucher 8;Example of description 8;14;1;1;1;1;;2
codenb247;Super voucher 9;Example of description 9;15;1;1;1;1;;3
codenb248;Super voucher 10;Example of description 10;16;1;1;1;1;;4,5,6
codenb249;Super voucher 11;Example of description 11;17;1;1;1;0;;5
codenb250;Super voucher 12;Example of description 12;18;1;1;1;1;;6
codenb251;Super voucher 13;Example of description 13;19;1;1;1;1;;7,8,9
codenb252;Super voucher 14;Example of description 14;20;1;1;1;1;;8
codenb253;Super voucher 15;Example of description 15;21;1;1;1;1;;9
codenb254;Super voucher 16;Example of description 16;22;1;1;1;1;;11
codenb255;Super voucher 17;Example of description 17;23;1;1;1;1;;1,2,3
codenb256;Super voucher 18;Example of description 18;24;1;1;1;1;;1,9,5
codenb257;Super voucher 19;Example of description 19;25;1;1;1;1;;
