old z gwiazdka;old;new;typ 301;wild
/pl/blog/post/www.norwit.pl;/pl/blog/post/www.norwit.pl;/pl/blog;301;0
/shop/category/frezarki-do-zdzierania-powok-i-betonu-1566*;/shop/category/frezarki-do-zdzierania-powok-i-betonu-1566;/c/frezarki-do-posadzek;301;1
/shop/category/poszerzanie-i-fazowanie-dylatacji-1567*;/shop/category/poszerzanie-i-fazowanie-dylatacji-1567;/c/frezarki-do-posadzek;301;1
/shop/category/akcesoria-do-frezarek-615*;/shop/category/akcesoria-do-frezarek-615;/c/akcesoria-do-frezarek;301;1
/shop/category/frezarki-podogowe-422*;/shop/category/frezarki-podogowe-422;/c/frezarki-do-betonu;301;1
/shop/category/frezarki-do-ogrzewania-podogowego-614*;/shop/category/frezarki-do-ogrzewania-podogowego-614;/c/frezarki-do-ogrzewania-podlogowego;301;1
/p/silnik-do-wiertnicy-drschulze-ddm-350*;/p/silnik-do-wiertnicy-drschulze-ddm-350;https://direct.norwit.pl/shop/wiertnica-diamentowa-kompletna-dr-schulze-ddm350-dsd350-225745?search=ddm350&order=website_sequence+asc#attr=293751,293753,293747,293748,293752,293755,293754,293750;301;1
/shop/19605-frezarka-do-rowkow-pod-ogrzewanie-podogowe-he-120-automatic-400v-hemming-48366*;/shop/19605-frezarka-do-rowkow-pod-ogrzewanie-podogowe-he-120-automatic-400v-hemming-48366;/p/frezarka-hemming-he-120-automatyczna-400v-do-rowkow-pod-ogrzewanie-podlogowe;301;1
/shop/19599-frezarka-do-rowkow-pod-ogrzewanie-podogowe-hemming-he-120-reczna-230v-48364*;/shop/19599-frezarka-do-rowkow-pod-ogrzewanie-podogowe-hemming-he-120-reczna-230v-48364;/p/frezarka-hemming-he-120-manualna-230v-do-rowkow-pod-ogrzewanie-podlogowe;301;1
/shop/19604-frezarka-do-rowkow-pod-ogrzewanie-podogowe-he-120-reczna-400v-hemming-48367*;/shop/19604-frezarka-do-rowkow-pod-ogrzewanie-podogowe-he-120-reczna-400v-hemming-48367;/p/frezarka-hemming-he-120-manualna-400v-do-rowkow-pod-ogrzewanie-podlogowe;301;1
/shop/category/zageszczarki-rewersyjne-315*;/shop/category/zageszczarki-rewersyjne-315;/c/zageszczarki-rewersyjne;301;1
/shop/category/zageszczarki-jednokierunkowe-640*;/shop/category/zageszczarki-jednokierunkowe-640;/c/zageszczarki-jednokierunkowe;301;1
/shop/category/ubijaki-316*;/shop/category/ubijaki-316;/c/ubijaki-gruntu-skoczki;301;1
/shop/967854505-ubijak-husqvarna-lt-6005-11-premium-47327*;/shop/967854505-ubijak-husqvarna-lt-6005-11-premium-47327;/p/ubijak-husqvarna-lt-6005-11-premium;301;1
/shop/sk-85-pompa-szlamowa-zatapialna-750w-evak-50-eus-5-10s-225827*;/shop/sk-85-pompa-szlamowa-zatapialna-750w-evak-50-eus-5-10s-225827;/p/pompa-szlamowa-zatapialna-750w-evak-50-eus-510s;301;1
/shop/category/elektryczne-pompy-szlamowe-545*;/shop/category/elektryczne-pompy-szlamowe-545;/c/szlamowe-pompy-elektryczne;301;1
/shop/sk-86-pompa-szlamowa-zatapialna-evak-50-eus-5-05s-225811*;/shop/sk-86-pompa-szlamowa-zatapialna-evak-50-eus-5-05s-225811;/p/pompa-szlamowa-zatapialna-evak-50-eus-505s;301;1
/shop/cl3g-zestaw2-zestaw-laser-krzyzowy-nivel-system-cl3g-zielony-statyw-sjjm1ex-101777*;/shop/cl3g-zestaw2-zestaw-laser-krzyzowy-nivel-system-cl3g-zielony-statyw-sjjm1ex-101777;/p/zestaw-laser-krzyzowy-nivel-system-cl3g-zielony-statyw-sjj-m1-ex;301;1
/shop/cl3r-sjj-m2-ex-cls4-zestaw-laser-krzyzowy-nivel-system-cl3r-czerwony-statyw-sjjm1ex-czujnik-cls4-101771*;/shop/cl3r-sjj-m2-ex-cls4-zestaw-laser-krzyzowy-nivel-system-cl3r-czerwony-statyw-sjjm1ex-czujnik-cls4-101771;/p/zestaw-laser-krzyzowy-nivel-system-cl3r-czerwony-statyw-sjjm1ex-czujnik-cls4;301;1
/shop/cl3g-lp36-zestaw-laser-krzyzowy-nivel-system-cl3g-zielony-tyczka-lp36-101776*;/shop/cl3g-lp36-zestaw-laser-krzyzowy-nivel-system-cl3g-zielony-tyczka-lp36-101776;/p/zestaw-laser-krzyzowy-nivel-system-cl3g-zielony-tyczka-lp-36;301;1
